"CZ_NAME_STR","BEGIN_LOCATION","BEGIN_LAT","BEGIN_LON","EVENT_TYPE","DAMAGE_PROPERTY_NUM","FLOOD_CAUSE","BEGIN_DATE","BEGIN_TIME","END_DATE","END_TIME","StartDate","EndDate","Duration","Month","MonthYear","Year"
"ST. TAMMANY PAR.","SLIDELL",NA,NA,"Flood",0,NA,1996-04-14,"2300",1996-04-14,"2300",1996-04-14 23:00:00,1996-04-14 23:00:00,0,"04","04-1996","1996"
"ST. TAMMANY PAR.","PEARL RIVER",NA,NA,"Flood",0,NA,1996-04-14,"2300",1996-04-14,"2300",1996-04-14 23:00:00,1996-04-14 23:00:00,0,"04","04-1996","1996"
"FRANKLIN PAR.","WINNSBORO",NA,NA,"Flash Flood",0,NA,1996-05-28,"2300",1996-05-29,"0000",1996-05-28 23:00:00,1996-05-29 00:00:00,1,"05","05-1996","1996"
"RICHLAND PAR.","HOLLY RIDGE",NA,NA,"Flash Flood",0,NA,1996-05-28,"2340",1996-05-29,"0040",1996-05-28 23:40:00,1996-05-29 00:40:00,1,"05","05-1996","1996"
"CADDO PAR.","VIVIAN",NA,NA,"Flash Flood",0,NA,1996-06-01,"1050",1996-06-01,"1230",1996-06-01 10:50:00,1996-06-01 12:30:00,1.66666666666667,"06","06-1996","1996"
"CADDO PAR.","VIVIAN",NA,NA,"Flash Flood",0,NA,1996-06-01,"1050",1996-06-01,"1230",1996-06-01 10:50:00,1996-06-01 12:30:00,1.66666666666667,"06","06-1996","1996"
"CADDO PAR.","SHREVEPORT",NA,NA,"Flash Flood",0,NA,1996-06-01,"1400",1996-06-01,"1600",1996-06-01 14:00:00,1996-06-01 16:00:00,2,"06","06-1996","1996"
"CADDO PAR.","SHREVEPORT",NA,NA,"Flash Flood",0,NA,1996-06-01,"1430",1996-06-01,"1530",1996-06-01 14:30:00,1996-06-01 15:30:00,1,"06","06-1996","1996"
"BOSSIER PAR.","PLAIN DEALING",NA,NA,"Flash Flood",0,NA,1996-06-13,"0900",1996-06-13,"1030",1996-06-13 09:00:00,1996-06-13 10:30:00,1.5,"06","06-1996","1996"
"WEBSTER PAR.","SPRINGHILL",NA,NA,"Flash Flood",0,NA,1996-06-13,"0900",1996-06-13,"1100",1996-06-13 09:00:00,1996-06-13 11:00:00,2,"06","06-1996","1996"
